Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.6890909090909091,22.365909090909092,492.04999999999995,SC 90% BEEF 1 Z • NP BNL CHKN B ST • SC 90%LEAN GRBF • TH FRMS LAMB ILB • SB SLC BACON 162 • CHORIZO LINK 162 • BNLS CC PORK CHP • PERD BRST TNDRS • NP MILD CHCK SSG • HTFD HOT ITL 162 • ORG 85% GRND BF • GROUND STEAK 80% • JHNSNVLE DINN Ll • P TS CKN CUTLET NP TS CKN CUTLET • BNLS CKNBRST TND • SWEET ITLN SSG • NP BLSKL CHKTHGN • FPK 80% GRD BEEF • PERD TS RST BRST • OM BACON SLC 16Z • .SHBF 85% TRKY • NP CHCKN DRUMS
1,PRODUCE,2.3884,15.9668,399.17,CAULIFLOWER 9CT • SW GARLIC 9.52 • CELLO LETTUCE 24 • 2LB BABY PLD CAR • MANDARINS 3LB • NP ORG FUJI 3LB • BROCCOLI CROWNS • RED SDLS GRAPES • BLUEBERRIES 182 • +HASS AVOCADOS • POTATOES • EX LRG TOMATOES  • ORG BLURRY 4 . 4Z • PREM PETITE CAR • VINE RIPE TOMATO • NP BBY PLD CRT • ONION SETS • TOMATO ON VINE • CABBAGE CELERY • SCALLIONS • .ORG CRIPPS PINK • ONION RED • NP ORG GALA APPL • SUNMD YOGRT RAI • GREEN TOMATOES
2,GROCERY,0.3063461538461538,7.734230769230772,402.18,"SB ELBOW MACRONI • RhOS ELBOW 162 • RMS PENNE 162 • SB FLOUR ALL 51B • NP OG CRY PN BUT • NP FF ALM BTR 12 • NMITLNSSG8PPR24Z • NUMN SAU 23.5Z • SB SALTINES • MCVT MLK CHO DIG • CENTO TUNA FISH • HLMNS RLMAYO 202 • CAROLINA JASMINE • RED LBSTR CHD BA • SB REG SPAGHETTI • SB ROTINI • SUN LUCK SESME O • SB XTRLTOO 16.92 • CF ORG GRAN14.6Z • SB SOY SCE 102 • POPCHIPS SSLT 5Z • NP ORG TOM BSL S • NP ORG SC PARM • NP NATRLMDBTR16Z • SB GRAPE JELLY • NUMNPSSOCKARNI • TOI ASIAN BBQ12Z • SB SUGAR 16Z • SB DBL ZIP FRZR • KAME STRFRYHKN N • ANNIE HONEY GRA • MCVT MLK CHC HBN • PCORNR CHIPS, 7Z • NP ORGNC ALM BTR • GYA X-VG OLV OIL • KIKM GLT FRE SOY • SB THIN SPAGHETI • NP ORG EV0016.9Z • BONN MAM RASPBRY • CHICHI BURRITO • BONE NAM STW PRE • DRMFLD SPAGHETTI • PASTA SAUCE TMBS • NP SNFLWR BTR16Z • NWMN TMTBSLBMBLN • MWMN O SCE23.5Z • SB BRDCRMB PLN15 • MC EXTRACT 2Z • SB PURE 0016.9 • NSTRL MRSL 11.5Z • GOYA THAI JASMINE • BOBS RDM SODA16Z"
3,FROZEN FOOD,0.38833333333333336,5.364166666666667,64.37,SB CUT BROC 162 • SB GREEN PEAS16Z • TK H VN CHO 482 • RAVIOLI CHEESE • NP ORG CA BLN16Z • NP ORGANIC MIXED • NP PEAS&CRTS 162 • NWMNO UNCP15. IZ • NWMNO SPRM PZ17Z • TK HL DTCH CHO • TK HL IC 48Z • SB CHR VN IC 42Z
4,BAKERY - COMMERCIAL,0.6108333333333332,14.01333333333333,168.16,PHLY MALTYGR18.4 DAIRY • HLNDL EGGS MD12C • MhC N CHEESE BLD • SB HAMBURGER ROL p/ • DAVE BAGEL 16.752  • DKB 21 GRAIN 27Z DAIRY • PHIL SFT CRM CHS • SB SHRED MOZZ 82 • FNCY 4 CHS MEX • FNCY SHR PARM CH • SB LG UH EGG 18 • SB UHOLE MILK
5,BAKE SHOP,0.0,8.745000000000001,34.980000000000004,12 GLAZED DONUTS • DNT HORS ASSORT • 6CT NO PT ROLL • DNT HOLES POWDER
6,PREPARED FOODS,0.0,6.99,6.99,ROTIS CHKN HOT 
7,DAIRY,0.12357142857142857,6.3792857142857144,89.30999999999999,"SB UT PRVLN 7.62 • SB yu AMRCN IUS • SB CRM CHEESE8 • LAND LK BUTTERLB
*f • SB SET CRM CHS • SS SOUR CREAM • SB JUMBO EGGS • SB OJ W/C100%52Z • FNCY SHRD TACO • SB SL MED CHED • NP STRNG CHS 6Z • IWS 2% RF SNGLS • CHD JACK FNCY SH • LRGE WHT EGGS"
8,GENERAL MERCHANDISE,0.0,4.723333333333334,14.170000000000002,SL COURSE GRATER • SL SINK STRAINER • HF COOKIE SHT 2E
9,HEALTH AND BEAUTY CARE,0.0,2.54,5.08,Cl 91% ISO ALCHL • Cl SJ CTTN BALLS
10,DELI,0.0,3.99,3.99,AMOR ITLN RLS 6P
